Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
NTRA,2832,Natera Inc,Healthcare,Diagnostics & Research,USA,31440000000.0,,227.32,-0.48,306140
NTRS,2835,Northern Trust Corp,Financial,Asset Management,USA,26100000000.0,16.09,138.02,-1.15,178422
NXTG,2882,First Trust Indxx NextG ETF,Financial,Exchange Traded Fund,USA,,,105.87,-0.72,8039
NZAC,2887,SPDR MSCI ACWI Climate Paris Aligned ETF,Financial,Exchange Traded Fund,USA,,,42.37,-0.24,1778
OCFC,2898,OceanFirst Financial Corp,Financial,Banks - Regional,USA,1160000000.0,15.59,20.22,0.0,72634
OCSL,2902,Oaktree Specialty Lending Corp,Financial,Asset Management,USA,1130000000.0,33.78,12.85,-0.19,337522
OXLC,2998,Oxford Lane Capital Corp,Financial,Closed-End Fund - Debt,USA,1320000000.0,268.37,13.66,0.15,566733
PCAR,3040,Paccar Inc,Industrials,Farm & Heavy Construction Machinery,USA,58980000000.0,21.98,112.29,-0.59,630950
PEY,3076,Invesco High Yield Equity Dividend Achievers ETF,Financial,Exchange Traded Fund,USA,,,20.69,-0.67,116749
PGJ,3090,Invesco Golden Dragon China ETF,Financial,Exchange Traded Fund,USA,,,28.96,-0.86,17509
PSCI,3208,Invesco S&P SmallCap Industrials ETF,Financial,Exchange Traded Fund,USA,,,155.41,-0.04,407
PSCM,3209,Invesco S&P SmallCap Materials ETF,Financial,Exchange Traded Fund,USA,,,84.15,-0.13,155
PSCU,3211,Invesco S&P SmallCap Utilities & Communication Services ETF,Financial,Exchange Traded Fund,USA,,,57.77,-0.19,8
PTF,3229,Invesco Dorsey Wright Technology Momentum ETF,Financial,Exchange Traded Fund,USA,,,74.95,-0.41,6918
RFDI,3404,First Trust RiverFront Dynamic Developed International ETF,Financial,Exchange Traded Fund,USA,,,79.32,-0.24,1386
RICK,3421,RCI Hospitality Holdings Inc,Consumer Cyclical,Restaurants,USA,216620000.0,13.32,24.84,-2.05,67768
RMR,3444,RMR Group Inc,Real Estate,Real Estate Services,USA,504700000.0,15.23,15.74,0.46,106852
RNRG,3454,Global X Renewable Energy Producers ETF,Financial,Exchange Traded Fund,USA,,,33.45,-0.13,431
SGA,3591,"Saga Communications, Inc",Communication Services,Broadcasting,USA,73770000.0,231.41,11.45,0.13,11913
SNSR,3710,Global X Funds Global X Internet of Things ETF,Financial,Exchange Traded Fund,USA,,,37.58,-0.4,2664
UIVM,4106,VictoryShares Emerging Markets Value Momentum ETF,Financial,Exchange Traded Fund,USA,,,63.64,-0.4,3366
UOKA,4123,MDJM Ltd,Consumer Cyclical,Lodging,United Kingdom,2760000.0,,2.58,2.6,12759
UPWK,4132,Upwork Inc,Communication Services,Internet Content & Information,USA,2800000000.0,12.25,21.44,0.29,400391
USLM,4150,United States Lime & Minerals Inc,Basic Materials,Building Materials,USA,3640000000.0,27.92,127.05,1.56,20959
VOD,4233,Vodafone Group plc ADR,Communication Services,Telecom Services,United Kingdom,30110000000.0,,12.73,0.2,2511887
VONG,4236,Vanguard Russell 1000 Growth Index ETF,Financial,Exchange Traded Fund,USA,,,120.69,-0.03,985498
VSDA,4261,VictoryShares Dividend Accelerator ETF,Financial,Exchange Traded Fund,USA,,,53.28,-0.53,8141
VSMV,4265,VictoryShares US Multi-Factor Minimum Volatility ETF,Financial,Exchange Traded Fund,USA,,,55.13,-0.59,1847
WDFC,4312,WD-40 Co,Basic Materials,Specialty Chemicals,USA,2800000000.0,30.91,206.74,0.18,33251
WING,4334,Wingstop Inc,Consumer Cyclical,Restaurants,USA,6840000000.0,40.16,245.99,2.62,373738
WYNN,4385,Wynn Resorts Ltd,Consumer Cyclical,Resorts & Casinos,USA,13170000000.0,27.94,126.68,0.34,344481
