,Ticker,Company,Sector,Industry
62,FORTY,Formula Systems (1985) Ltd. ADR,Technology,Information Technology Services
63,FRPT,Freshpet Inc,Consumer Defensive,Packaged Foods
64,GDC,GD Culture Group Limited,Communication Services,Electronic Gaming & Multimedia
65,GIFI,"Gulf Island Fabrication, Inc",Industrials,Metal Fabrication
66,GWAV,Greenwave Technology Solutions Inc,Industrials,Waste Management
67,HALO,Halozyme Therapeutics Inc,Healthcare,Biotechnology
68,HBIO,Harvard Bioscience Inc,Healthcare,Medical Instruments & Supplies
69,HIND,Vyome Holdings Inc,Healthcare,Biotechnology
70,HNRG,Hallador Energy Co,Energy,Thermal Coal
71,IBIO,iBio Inc,Healthcare,Biotechnology
72,ICUI,"ICU Medical, Inc",Healthcare,Medical Instruments & Supplies
73,IFRX,InflaRx N.V,Healthcare,Biotechnology
74,INO,Inovio Pharmaceuticals Inc,Healthcare,Biotechnology
75,IPHA,Innate Pharma ADR,Healthcare,Biotechnology
76,IROQ,IF Bancorp Inc,Financial,Banks - Regional
77,KALA,Kala Bio Inc,Healthcare,Biotechnology
78,KG,Kestrel Group Ltd,Financial,Insurance Brokers
79,KLXE,KLX Energy Services Holdings Inc,Energy,Oil & Gas Equipment & Services
80,KMB,Kimberly-Clark Corp,Consumer Defensive,Household & Personal Products
81,KPTI,Karyopharm Therapeutics Inc,Healthcare,Biotechnology
82,KRRO,Korro Bio Inc,Healthcare,Biotechnology
83,LEGH,Legacy Housing Corp,Consumer Cyclical,Residential Construction
84,LFMD,LifeMD Inc,Healthcare,Health Information Services
85,LINK,Interlink Electronics,Technology,Electronic Components
86,LIXT,Lixte Biotechnology Holdings Inc,Healthcare,Biotechnology
87,MDWD,MediWound Ltd,Healthcare,Biotechnology
88,MGIC,Magic Software Enterprises Ltd,Technology,Information Technology Services
89,MGYR,Magyar Bancorp Inc,Financial,Banks - Regional
90,MLKN,MillerKnoll Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
91,MOGO,Mogo Inc,Technology,Software - Infrastructure
92,MRSN,Mersana Therapeutics Inc,Healthcare,Biotechnology
93,MRUS,Merus N.V,Healthcare,Biotechnology
94,NAII,"Natural Alternatives International, Inc",Consumer Defensive,Packaged Foods
95,NMIH,NMI Holdings Inc,Financial,Insurance - Specialty
96,NNDM,Nano Dimension Ltd ADR,Technology,Computer Hardware
97,NSPR,InspireMD Inc,Healthcare,Medical Devices
98,OLB,OLB Group Inc,Technology,Software - Infrastructure
99,OTLK,Outlook Therapeutics Inc,Healthcare,Biotechnology
100,PACB,Pacific Biosciences of California Inc,Healthcare,Medical Devices
101,PAVM,PAVmed Inc,Healthcare,Medical Devices
102,PEBK,Peoples Bancorp Of North Carolina Inc,Financial,Banks - Regional
103,PERI,Perion Network Ltd,Communication Services,Internet Content & Information
104,PETS,"Petmed Express, Inc",Healthcare,Pharmaceutical Retailers
105,PRPH,ProPhase Labs Inc,Healthcare,Diagnostics & Research
106,PRQR,ProQR Therapeutics N.V,Healthcare,Biotechnology
107,PRTS,CarParts.com Inc,Consumer Cyclical,Auto Parts
108,PSIX,Power Solutions International Inc,Industrials,Specialty Industrial Machinery
109,PSNL,Personalis Inc,Healthcare,Diagnostics & Research
110,PSTV,Plus Therapeutics Inc,Healthcare,Biotechnology
111,PTGX,Protagonist Therapeutics Inc,Healthcare,Biotechnology
112,PTON,Peloton Interactive Inc,Consumer Cyclical,Leisure
113,PXLW,Pixelworks Inc,Technology,Semiconductors
114,QMCO,Quantum Corp,Technology,Computer Hardware
115,QNST,QuinStreet Inc,Communication Services,Advertising Agencies
116,QRVO,Qorvo Inc,Technology,Semiconductors
117,RCAT,Red Cat Holdings Inc,Industrials,Aerospace & Defense
118,RNTX,Rein Therapeutics Inc,Healthcare,Biotechnology
119,ROCK,Gibraltar Industries Inc,Industrials,Building Products & Equipment
120,RVYL,Ryvyl Inc,Technology,Software - Infrastructure
121,SAVA,Cassava Sciences Inc,Healthcare,Biotechnology
122,SBET,SharpLink Gaming Inc,Consumer Cyclical,Gambling
123,SGBX,Safe & Green Holdings Corp,Industrials,Metal Fabrication
124,SGLY,Singularity Future Technology Ltd,Industrials,Integrated Freight & Logistics
125,SHIP,Seanergy Maritime Holdings Corp,Industrials,Marine Shipping
126,SLNO,Soleno Therapeutics Inc,Healthcare,Biotechnology
127,SNBR,Sleep Number Corp,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
128,SONM,Sonim Technologies Inc,Technology,Communication Equipment
129,SPWH,Sportsman's Warehouse Holdings Inc,Consumer Cyclical,Specialty Retail
130,STIM,Neuronetics Inc,Healthcare,Medical Devices
131,SURG,Surgepays Inc,Communication Services,Telecom Services
132,TILE,Interface Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
133,TLSA,Tiziana Life Sciences Ltd,Healthcare,Biotechnology
134,TNXP,Tonix Pharmaceuticals Holding Corp,Healthcare,Biotechnology
135,TOMZ,TOMI Environmental Solutions Inc,Industrials,Pollution & Treatment Controls
136,TRMD,Torm Plc,Energy,Oil & Gas Midstream
137,TRVG,Trivago NV ADR,Communication Services,Internet Content & Information
138,TRVI,Trevi Therapeutics Inc,Healthcare,Biotechnology
139,UNIT,Uniti Group Inc,Real Estate,REIT - Specialty
140,UONE,Urban One Inc,Communication Services,Broadcasting
141,UXIN,Uxin Ltd ADR,Consumer Cyclical,Auto & Truck Dealerships
142,VIR,Vir Biotechnology Inc,Healthcare,Biotechnology
143,VIRC,Virco Manufacturing Corp,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
144,VKTX,Viking Therapeutics Inc,Healthcare,Biotechnology
145,VMD,Viemed Healthcare Inc,Healthcare,Medical Devices
146,VRCA,Verrica Pharmaceuticals Inc,Healthcare,Biotechnology
147,VRDN,Viridian Therapeutics Inc,Healthcare,Biotechnology
148,VTRS,Viatris Inc,Healthcare,Drug Manufacturers - Specialty & Generic
149,WKSP,Worksport Ltd,Consumer Cyclical,Auto Parts
150,WORX,SCWorx Corp,Healthcare,Health Information Services
151,WVE,Wave Life Sciences Ltd,Healthcare,Biotechnology
152,XBIO,Xenetic Biosciences Inc,Healthcare,Biotechnology
153,XOMA,XOMA Royalty Corp,Healthcare,Biotechnology
154,Z,Zillow Group Inc,Communication Services,Internet Content & Information
155,ZVRA,Zevra Therapeutics Inc,Healthcare,Biotechnology
0,ACWX,iShares MSCI ACWI ex US ETF,Financial,Exchange Traded Fund
1,AGNG,Global X Aging Population ETF,Financial,Exchange Traded Fund
2,AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund
3,AROW,Arrow Financial Corp,Financial,Banks - Regional
4,BATRA,Atlanta Braves Holdings Inc,Communication Services,Entertainment
5,BCBP,BCB Bancorp Inc (NJ),Financial,Banks - Regional
6,BNDX,Vanguard Total International Bond ETF,Financial,Exchange Traded Fund
7,CALM,"Cal-Maine Foods, Inc",Consumer Defensive,Farm Products
8,CARZ,First Trust S-Network Future Vehicles & Technology ETF,Financial,Exchange Traded Fund
9,CDL,VictoryShares US Large Cap High Div Volatility Wtd ETF,Financial,Exchange Traded Fund
10,COLB,"Columbia Banking System, Inc",Financial,Banks - Regional
11,COMT,iShares GSCI Commodity Dynamic Roll Strategy ETF,Financial,Exchange Traded Fund
12,CPB,Campbells Co,Consumer Defensive,Packaged Foods
13,CYRX,CryoPort Inc,Industrials,Integrated Freight & Logistics
14,DENN,Denny's Corp,Consumer Cyclical,Restaurants
15,DGRW,WisdomTree U.S. Quality Dividend Growth Fund,Financial,Exchange Traded Fund
16,DRH,Diamondrock Hospitality Co,Real Estate,REIT - Hotel & Motel
17,ENSG,Ensign Group Inc,Healthcare,Medical Care Facilities
18,ENZL,iShares MSCI New Zealand ETF,Financial,Exchange Traded Fund
19,ERIC,Telefonaktiebolaget L M Ericsson ADR,Technology,Communication Equipment
20,ERII,Energy Recovery Inc,Industrials,Pollution & Treatment Controls
21,ESPO,VanEck Video Gaming and eSports ETF,Financial,Exchange Traded Fund
22,EVO,Evotec SE ADR,Healthcare,Drug Manufacturers - Specialty & Generic
23,FCBC,First Community Bankshares Inc,Financial,Banks - Regional
24,FER,Ferrovial S.E,Industrials,Engineering & Construction
25,FEX,First Trust Large Cap Core AlphaDEX Fund,Financial,Exchange Traded Fund
26,FHB,First Hawaiian INC,Financial,Banks - Regional
27,FIEE,FiEE Inc,Technology,Communication Equipment
28,FJP,First Trust Japan AlphaDEX Fund,Financial,Exchange Traded Fund
29,FKU,First Trust United Kingdom AlphaDEX Fund,Financial,Exchange Traded Fund
30,FNY,First Trust Mid Cap Growth AlphaDEX Fund,Financial,Exchange Traded Fund
31,FORM,FormFactor Inc,Technology,Semiconductor Equipment & Materials
32,FTGC,First Trust Global Tactical Commodity Strategy Fund,Financial,Exchange Traded Fund
33,FYT,First Trust Small Cap Value AlphaDEX Fund,Financial,Exchange Traded Fund
34,GECC,Great Elm Capital Corp,Financial,Asset Management
35,GLPI,Gaming and Leisure Properties Inc,Real Estate,REIT - Specialty
36,GSHD,Goosehead Insurance Inc,Financial,Insurance Brokers
37,HBAN,"Huntington Bancshares, Inc",Financial,Banks - Regional
38,HBNC,Horizon Bancorp Inc (IN),Financial,Banks - Regional
39,IBRX,ImmunityBio Inc,Healthcare,Biotechnology
40,IDN,Intellicheck Inc,Technology,Software - Application
41,IFGL,iShares International Developed Real Estate ETF,Financial,Exchange Traded Fund
42,IVAL,Alpha Architect International Quantitative Value ETF,Financial,Exchange Traded Fund
43,JBHT,"J.B. Hunt Transport Services, Inc",Industrials,Integrated Freight & Logistics
44,KRNY,Kearny Financial Corp,Financial,Banks - Regional
45,KTCC,Key Tronic Corp,Technology,Computer Hardware
46,LAZR,Luminar Technologies Inc,Consumer Cyclical,Auto Parts
47,LFVN,Lifevantage Corporation,Consumer Defensive,Packaged Foods
48,LOAN,Manhattan Bridge Capital Inc,Real Estate,REIT - Mortgage
49,LPRO,Open Lending Corp,Financial,Credit Services
50,LULU,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail
51,MANH,"Manhattan Associates, Inc",Technology,Software - Application
52,MASI,Masimo Corp,Healthcare,Medical Devices
53,MDB,MongoDB Inc,Technology,Software - Infrastructure
54,MKTX,MarketAxess Holdings Inc,Financial,Capital Markets
55,MU,Micron Technology Inc,Technology,Semiconductors
56,NRIM,"Northrim Bancorp, Inc",Financial,Banks - Regional
57,NTRA,Natera Inc,Healthcare,Diagnostics & Research
58,NTRS,Northern Trust Corp,Financial,Asset Management
59,NXTG,First Trust Indxx NextG ETF,Financial,Exchange Traded Fund
60,OCFC,OceanFirst Financial Corp,Financial,Banks - Regional
61,OCSL,Oaktree Specialty Lending Corp,Financial,Asset Management
62,PEY,Invesco High Yield Equity Dividend Achievers ETF,Financial,Exchange Traded Fund
63,PRN,Invesco Dorsey Wright Industrials Momentum ETF,Financial,Exchange Traded Fund
64,PRPO,Precipio Inc,Healthcare,Diagnostics & Research
65,PSCI,Invesco S&P SmallCap Industrials ETF,Financial,Exchange Traded Fund
66,PSCM,Invesco S&P SmallCap Materials ETF,Financial,Exchange Traded Fund
67,PSCU,Invesco S&P SmallCap Utilities & Communication Services ETF,Financial,Exchange Traded Fund
68,PSEC,Prospect Capital Corp,Financial,Asset Management
69,PTF,Invesco Dorsey Wright Technology Momentum ETF,Financial,Exchange Traded Fund
70,PUI,Invesco Dorsey Wright Utilities Momentum ETF,Financial,Exchange Traded Fund
71,RFDI,First Trust RiverFront Dynamic Developed International ETF,Financial,Exchange Traded Fund
72,RICK,RCI Hospitality Holdings Inc,Consumer Cyclical,Restaurants
73,RNEM,First Trust Emerging Markets Equity Select ETF,Financial,Exchange Traded Fund
74,RPAY,Repay Holdings Corporation,Technology,Software - Infrastructure
75,SBRA,Sabra Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities
76,SNSR,Global X Funds Global X Internet of Things ETF,Financial,Exchange Traded Fund
77,UIVM,VictoryShares Emerging Markets Value Momentum ETF,Financial,Exchange Traded Fund
78,UPWK,Upwork Inc,Communication Services,Internet Content & Information
79,USLM,United States Lime & Minerals Inc,Basic Materials,Building Materials
80,VOD,Vodafone Group plc ADR,Communication Services,Telecom Services
81,VONG,Vanguard Russell 1000 Growth Index ETF,Financial,Exchange Traded Fund
82,VSDA,VictoryShares Dividend Accelerator ETF,Financial,Exchange Traded Fund
83,WDFC,WD-40 Co,Basic Materials,Specialty Chemicals
84,WING,Wingstop Inc,Consumer Cyclical,Restaurants
85,WTW,Willis Towers Watson Public Limited Co,Financial,Insurance Brokers
86,WYNN,Wynn Resorts Ltd,Consumer Cyclical,Resorts & Casinos
0,ADEA,Adeia Inc,Technology,Software - Application
1,ADP,Automatic Data Processing Inc,Technology,Software - Application
2,ADPT,Adaptive Biotechnologies Corp,Healthcare,Biotechnology
3,AGAE,Allied Gaming & Entertainment Inc,Communication Services,Entertainment
4,AGIO,Agios Pharmaceuticals Inc,Healthcare,Biotechnology
5,AHCO,AdaptHealth Corp,Healthcare,Medical Devices
6,ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies
7,ALNT,Allient Inc,Technology,Electronic Components
8,ALNY,Alnylam Pharmaceuticals Inc,Healthcare,Biotechnology
9,ANAB,AnaptysBio Inc,Healthcare,Biotechnology
10,AQMS,Aqua Metals Inc,Industrials,Waste Management
11,ARCT,Arcturus Therapeutics Holdings Inc,Healthcare,Biotechnology
12,ARQ,Arq Inc,Industrials,Pollution & Treatment Controls
13,ASPS,Altisource Portfolio Solutions S.A,Real Estate,Real Estate Services
14,ATRO,Astronics Corp,Industrials,Aerospace & Defense
15,BAND,Bandwidth Inc,Technology,Software - Infrastructure
16,BCRX,Biocryst Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic
17,BLDP,Ballard Power Systems Inc,Industrials,Electrical Equipment & Parts
18,BNC,CEA Industries Inc,Industrials,Farm & Heavy Construction Machinery
19,BNTC,Benitec Biopharma Inc,Healthcare,Biotechnology
20,BTCS,BTCS Inc,Financial,Capital Markets
21,BYND,Beyond Meat Inc,Consumer Defensive,Packaged Foods
22,CENN,Cenntro Inc,Consumer Cyclical,Auto Manufacturers
23,CENX,Century Aluminum Co,Basic Materials,Aluminum
24,CHRW,"C.H. Robinson Worldwide, Inc",Industrials,Integrated Freight & Logistics
25,CNXN,"PC Connection, Inc",Technology,Electronics & Computer Distribution
26,COLL,Collegium Pharmaceutical Inc,Healthcare,Drug Manufacturers - Specialty & Generic
27,CREX,Creative Realities Inc,Technology,Software - Application
28,CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology
29,CRVO,CervoMed Inc,Healthcare,Biotechnology
30,CRWS,"Crown Crafts, Inc",Consumer Cyclical,"Furnishings, Fixtures & Appliances"
31,CTRM,Castor Maritime Inc,Industrials,Marine Shipping
32,CYPH,Cypherpunk Technologies Inc,Healthcare,Biotechnology
33,DLTR,Dollar Tree Inc,Consumer Defensive,Discount Stores
34,DNTH,Dianthus Therapeutics Inc,Healthcare,Biotechnology
35,DXLG,Destination XL Group Inc,Consumer Cyclical,Apparel Retail
36,DXR,Daxor Corp,Healthcare,Medical Instruments & Supplies
37,ECPG,"Encore Capital Group, Inc",Financial,Credit Services
38,EDIT,Editas Medicine Inc,Healthcare,Biotechnology
39,EDRY,EuroDry Ltd,Industrials,Marine Shipping
40,ENTX,Entera Bio Ltd,Healthcare,Biotechnology
41,FWRD,Forward Air Corp,Industrials,Integrated Freight & Logistics
42,GGAL,Grupo Financiero Galicia ADR,Financial,Banks - Regional
43,GIII,G-III Apparel Group Ltd,Consumer Cyclical,Apparel Manufacturing
44,GREE,Greenidge Generation Holdings Inc,Financial,Capital Markets
45,HAIN,Hain Celestial Group Inc,Consumer Defensive,Packaged Foods
46,HFBL,Home Federal Bancorp Inc (Louisiana),Financial,Banks - Regional
47,HNNA,Hennessy Advisors Inc,Financial,Asset Management
48,HROW,Harrow Inc,Healthcare,Drug Manufacturers - Specialty & Generic
49,HURA,TuHURA Biosciences Inc,Healthcare,Biotechnology
50,HURC,"Hurco Companies, Inc",Industrials,Specialty Industrial Machinery
51,HYPD,Hyperion DeFi Inc,Healthcare,Biotechnology
52,INTZ,Intrusion Inc,Technology,Software - Infrastructure
53,IOVA,Iovance Biotherapeutics Inc,Healthcare,Biotechnology
54,IPM,Intelligent Protection Management Corp,Technology,Software - Application
55,ITIC,Investors Title Co,Financial,Insurance - Specialty
56,KALU,Kaiser Aluminum Corp,Basic Materials,Aluminum
57,KALV,KalVista Pharmaceuticals Inc,Healthcare,Biotechnology
58,KELYA,"Kelly Services, Inc",Industrials,Staffing & Employment Services
59,KHC,Kraft Heinz Co,Consumer Defensive,Packaged Foods
60,KOSS,Koss Corp,Technology,Consumer Electronics
61,KPRX,Kiora Pharmaceuticals Inc,Healthcare,Biotechnology
62,LASR,nLIGHT Inc,Technology,Semiconductors
63,LOCO,El Pollo Loco Holdings Inc,Consumer Cyclical,Restaurants
64,LOOP,Loop Industries Inc,Basic Materials,Specialty Chemicals
65,LX,LexinFintech Holdings Ltd ADR,Financial,Credit Services
66,MCHX,Marchex Inc,Communication Services,Advertising Agencies
67,MNRO,Monro Inc,Consumer Cyclical,Auto Parts
68,MRNA,Moderna Inc,Healthcare,Biotechnology
69,NAAS,Naas Technology Inc ADR,Consumer Cyclical,Specialty Retail
70,NISN,NiSun International Enterprise Development Group Co Ltd,Industrials,Specialty Business Services
71,NIU,Niu Technologies ADR,Consumer Cyclical,Auto Manufacturers
72,NIXX,Nixxy Inc,Industrials,Staffing & Employment Services
73,NNBR,NN Inc,Industrials,Conglomerates
74,NOTV,Inotiv Inc,Healthcare,Diagnostics & Research
75,NTLA,Intellia Therapeutics Inc,Healthcare,Biotechnology
76,OCC,Optical Cable Corp,Technology,Communication Equipment
77,OCGN,Ocugen Inc,Healthcare,Biotechnology
78,OMCC,Old Market Capital Corp,Financial,Credit Services
79,OMEX,"Odyssey Marine Exploration, Inc",Basic Materials,Other Industrial Metals & Mining
80,OPRA,Opera Ltd ADR,Communication Services,Internet Content & Information
81,ORMP,"Oramed Pharmaceuticals, Inc",Healthcare,Biotechnology
82,OVBC,Ohio Valley Banc Corp,Financial,Banks - Regional
83,OVID,Ovid Therapeutics Inc,Healthcare,Biotechnology
84,PAHC,Phibro Animal Health Corp,Healthcare,Drug Manufacturers - Specialty & Generic
85,PBYI,Puma Biotechnology Inc,Healthcare,Biotechnology
86,PCSA,Processa Pharmaceuticals Inc,Healthcare,Biotechnology
87,PDFS,PDF Solutions Inc,Technology,Software - Application
88,POLA,Polar Power Inc,Industrials,Electrical Equipment & Parts
89,PPBT,Purple Biotech Ltd ADR,Healthcare,Biotechnology
90,PRTH,Priority Technology Holdings Inc,Technology,Software - Infrastructure
91,QCLS,Q/C Technologies Inc,Technology,Computer Hardware
92,QNRX,Quoin Pharmaceuticals Ltd ADR,Healthcare,Biotechnology
93,QURE,uniQure N.V,Healthcare,Biotechnology
94,RDNW,RideNow Group Inc,Consumer Cyclical,Auto & Truck Dealerships
95,RFIL,RF Industries Ltd,Industrials,Electrical Equipment & Parts
96,RGNX,Regenxbio Inc,Healthcare,Biotechnology
97,RIGL,Rigel Pharmaceuticals,Healthcare,Biotechnology
98,RNAC,Cartesian Therapeutics Inc,Healthcare,Biotechnology
99,RYAAY,Ryanair Holdings Plc ADR,Industrials,Airlines
100,SFBC,Sound Financial Bancorp Inc,Financial,Banks - Regional
101,SGA,"Saga Communications, Inc",Communication Services,Broadcasting
102,SHEN,Shenandoah Telecommunications Co,Communication Services,Telecom Services
103,SLGL,Sol-Gel Technologies Ltd,Healthcare,Biotechnology
104,SMCI,Super Micro Computer Inc,Technology,Computer Hardware
105,SSYS,Stratasys Ltd,Technology,Computer Hardware
106,STAA,Staar Surgical Co,Healthcare,Medical Instruments & Supplies
107,TATT,TAT Technologies Ltd,Industrials,Aerospace & Defense
108,TBBK,Bancorp Inc,Financial,Banks - Regional
109,TBRG,TruBridge Inc,Healthcare,Health Information Services
110,TCRT,Alaunos Therapeutics Inc,Healthcare,Biotechnology
111,TECX,Tectonic Therapeutic Inc,Healthcare,Biotechnology
112,TREE,LendingTree Inc,Financial,Financial Conglomerates
113,TRUP,Trupanion Inc,Financial,Insurance - Property & Casualty
114,TTGT,Techtarget Inc,Technology,Information Technology Services
115,UFPI,UFP Industries Inc,Basic Materials,Lumber & Wood Production
116,UOKA,MDJM Ltd,Consumer Cyclical,Lodging
117,VIOT,Viomi Technology Co Ltd ADR,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
118,VIVS,VivoSim Labs Inc,Healthcare,Biotechnology
119,VNOM,Viper Energy Inc,Energy,Oil & Gas Midstream
120,VSTM,Verastem Inc,Healthcare,Biotechnology
121,VUZI,Vuzix Corporation,Technology,Consumer Electronics
122,WFCF,Where Food Comes From Inc,Industrials,Specialty Business Services
123,XBIT,XBiotech Inc,Healthcare,Biotechnology
124,XWIN,XMax Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
125,XXII,22nd Century Group Inc,Consumer Defensive,Tobacco
126,ZBRA,Zebra Technologies Corp,Technology,Communication Equipment
127,ZKIN,ZK International Group Co Ltd,Basic Materials,Steel
128,ZYXI,Zynex Inc,Healthcare,Medical Distribution
0,AEHL,Antelope Enterprise Holdings Ltd,Industrials,Building Products & Equipment
1,AMCX,AMC Networks Inc,Communication Services,Entertainment
2,AMSC,American Superconductor Corp,Industrials,Specialty Industrial Machinery
3,ARCC,Ares Capital Corp,Financial,Asset Management
4,ARTW,Art's-way Manufacturing Co. Inc,Industrials,Farm & Heavy Construction Machinery
5,ASTE,Astec Industries Inc,Industrials,Farm & Heavy Construction Machinery
6,ATLO,Ames National Corp,Financial,Banks - Regional
7,BILI,Bilibili Inc ADR,Communication Services,Internet Content & Information
8,BND,Vanguard Total Bond Market ETF,Financial,Exchange Traded Fund
9,BWFG,Bankwell Financial Group Inc,Financial,Banks - Regional
10,CACC,Credit Acceptance Corp,Financial,Credit Services
11,CBRL,Cracker Barrel Old Country Store Inc,Consumer Cyclical,Restaurants
12,CDNA,Caredx Inc,Healthcare,Diagnostics & Research
13,CHGX,Stance Sustainable Beta ETF,Financial,Exchange Traded Fund
14,CHI,Calamos Convertible Opportunities and Income Fund,Financial,Closed-End Fund - Debt
15,CLBK,"Columbia Financial, Inc",Financial,Banks - Regional
16,CMCO,Columbus Mckinnon Corp,Industrials,Farm & Heavy Construction Machinery
17,COLM,Columbia Sportswear Co,Consumer Cyclical,Apparel Manufacturing
18,COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores
19,CSCO,"Cisco Systems, Inc",Technology,Communication Equipment
20,CSQ,Calamos Strategic Total Return Fund,Financial,Closed-End Fund - Debt
21,CTAS,Cintas Corporation,Industrials,Specialty Business Services
22,CVBF,CVB Financial Corp,Financial,Banks - Regional
23,EBMT,Eagle Bancorp Montana Inc,Financial,Banks - Regional
24,ECOW,Pacer Emerging Markets Cash Cows 100 ETF,Financial,Exchange Traded Fund
25,EEFT,Euronet Worldwide Inc,Technology,Software - Infrastructure
26,EMCB,WisdomTree Emerging Markets Corporate Bond Fund,Financial,Exchange Traded Fund
27,EVRG,Evergy Inc,Utilities,Utilities - Regulated Electric
28,EWBC,"East West Bancorp, Inc",Financial,Banks - Regional
29,FCVT,First Trust SSI Strategic Convertible Securities ETF,Financial,Exchange Traded Fund
30,FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,Financial,Exchange Traded Fund
31,FGM,First Trust Germany AlphaDEX Fund,Financial,Exchange Traded Fund
32,FGNX,FG Nexus Inc,Financial,Asset Management
33,FID,First Trust S&P International Dividend Aristocrats ETF,Financial,Exchange Traded Fund
